Tube_name	Treat_age_rep	Treatment	Age	TA_treat	rep	T0_worm_g	T1_worm_g	W_Change			
W001	Age01_TA1_r1	A01_TAI_R1	A01	1	R1	0.037	0.009	0.028			
W002	Age01_TA1_r2	A01_TAI_R2	A01	1	R2	0.027	0.015	0.012			
W003	Age01_TA1_r3	A01_TAI_R3	A01	1	R3	0.034	0.012	0.022			
W004	Age01_TA1_r4	A01_TAI_R4	A01	1	R4	0.028	0.01	0.018			
W005	Age01_TA1_r5	A01_TAI_R5	A01	1	R5	0.033	0.014	0.019			
W006	Age01_TA0_r1	A01_TAO_R1	A01	0	R1	0.03	0.007	0.023			
W007	Age01_TA0_r2	A01_TAO_R2	A01	0	R2	0.03	0.012	0.018			
W008	Age01_TA0_r3	A01_TAO_R3	A01	0	R3	0.038	0.015	0.023			
W009	Age01_TA0_r4	A01_TAO_R4	A01	0	R4	0.031	0.015	0.016			
W010	Age01_TA0_r5	A01_TAO_R5	A01	0	R5	0.033	0.015	0.018			
W011	Age02_TA1_r1	A02_TAI_R1	A02	1	R1	0.04	0.011	0.029			
W012	Age02_TA1_r2	A02_TAI_R2	A02	1	R2	0.034	0.012	0.022			
W013	Age02_TA1_r3	A02_TAI_R3	A02	1	R3	0.035	0.011	0.024			
W014	Age02_TA1_r4	A02_TAI_R4	A02	1	R4	0.028	0.013	0.015			
W015	Age02_TA1_r5	A02_TAI_R5	A02	1	R5	0.031	0.01	0.021			
W016	Age02_TA0_r1	A02_TAO_R1	A02	0	R1	0.029	0.016	0.013			
W017	Age02_TA0_r2	A02_TAO_R2	A02	0	R2	0.037	0.016	0.021			
W018	Age02_TA0_r3	A02_TAO_R3	A02	0	R3	0.033	0.012	0.021			
W019	Age02_TA0_r4	A02_TAO_R4	A02	0	R4	0.03	0.012	0.018			
W020	Age02_TA0_r5	A02_TAO_R5	A02	0	R5	0.035	0.016	0.019			
W021	Age04_TA1_r1	A04_TAI_R1	A04	1	R1	0.035	0.01	0.025			
W022	Age04_TA1_r2	A04_TAI_R2	A04	1	R2	0.029	0.014	0.015			
W023	Age04_TA1_r3	A04_TAI_R3	A04	1	R3	0.026	0.009	0.017			
W024	Age04_TA1_r4	A04_TAI_R4	A04	1	R4	0.037	0.012	0.025			
W025	Age04_TA1_r5	A04_TAI_R5	A04	1	R5	0.044	0.014	0.03			
W026	Age04_TA0_r1	A04_TAO_R1	A04	0	R1	0.031	0.008	0.023			
W027	Age04_TA0_r2	A04_TAO_R2	A04	0	R2	0.037	0.019	0.018			
W028	Age04_TA0_r3	A04_TAO_R3	A04	0	R3	0.025	0.009	0.016			
W029	Age04_TA0_r4	A04_TAO_R4	A04	0	R4	0.025	0.012	0.013			
W030	Age04_TA0_r5	A04_TAO_R5	A04	0	R5	0.03	0.01	0.02			
W031	Age06_TA1_r1	A06_TAI_R1	A06	1	R1	0.038	0.013	0.025			
W032	Age06_TA1_r2	A06_TAI_R2	A06	1	R2	0.031	0.014	0.017			
W033	Age06_TA1_r3	A06_TAI_R3	A06	1	R3	0.046	0.019	0.027			
W034	Age06_TA1_r4	A06_TAI_R4	A06	1	R4	0.023	0.01	0.013			
W035	Age06_TA1_r5	A06_TAI_R5	A06	1	R5	0.033	0.012	0.021			
W036	Age06_TA0_r1	A06_TAO_R1	A06	0	R1	0.033	0.013	0.02			
W037	Age06_TA0_r2	A06_TAO_R2	A06	0	R2	0.043	0.02	0.023			
W038	Age06_TA0_r3	A06_TAO_R3	A06	0	R3	0.029	0.011	0.018			
W039	Age06_TA0_r4	A06_TAO_R4	A06	0	R4	0.029	0.012	0.017			
W040	Age06_TA0_r5	A06_TAO_R5	A06	0	R5	0.032	0.015	0.017			
W041	Age07_TA1_r1	A07_TAI_R1	A07	1	R1	0.047	0.02	0.027			
W042	Age07_TA1_r2	A07_TAI_R2	A07	1	R2	0.03	0.013	0.017			
W043	Age07_TA1_r3	A07_TAI_R3	A07	1	R3	0.032	0.013	0.019			
W044	Age07_TA1_r4	A07_TAI_R4	A07	1	R4	0.035	0.013	0.022			
W045	Age07_TA1_r5	A07_TAI_R5	A07	1	R5	0.024	0.006	0.018			
W046	Age07_TA0_r1	A07_TAO_R1	A07	0	R1	0.026	0.01	0.016			
W047	Age07_TA0_r2	A07_TAO_R2	A07	0	R2	0.044	0.018	0.026			
W048	Age07_TA0_r3	A07_TAO_R3	A07	0	R3	0.034	0.013	0.021			
W049	Age07_TA0_r4	A07_TAO_R4	A07	0	R4	0.029	0.015	0.014			
W050	Age07_TA0_r5	A07_TAO_R5	A07	0	R5	0.043	0.016	0.027			
W051	Age08_TA1_r1	A08_TAI_R1	A08	1	R1	0.039	0.016	0.023			
W052	Age08_TA1_r2	A08_TAI_R2	A08	1	R2	0.023	0.01	0.013			
W053	Age08_TA1_r3	A08_TAI_R3	A08	1	R3	0.036	0.01	0.026			
W054	Age08_TA1_r4	A08_TAI_R4	A08	1	R4	0.027	0.009	0.018			
W055	Age08_TA1_r5	A08_TAI_R5	A08	1	R5	0.032	0.012	0.02			
W056	Age08_TA0_r1	A08_TAO_R1	A08	0	R1	0.027	0.01	0.017			
W057	Age08_TA0_r2	A08_TAO_R2	A08	0	R2	0.032	0.017	0.015			
W058	Age08_TA0_r3	A08_TAO_R3	A08	0	R3	0.035	0.015	0.02			
W059	Age08_TA0_r4	A08_TAO_R4	A08	0	R4	0.026	-0.005	0.031			
W060	Age08_TA0_r5	A08_TAO_R5	A08	0	R5	0.028	0.005	0.023			
