AGE_WEEKS,BAND,Volume
2,23,22
6,24,NA
10,25,15
1,28,4
10,29,NA
2,31,15
10,47,30
2,50,NA
8,54,24
6,76,17
12,83,8
11,90,23
6,95,NA
1,95,0.5
4,96,12
1,116,NA
11,132,NA
7,133,30
8,136,NA
1,139,NA
10,156,24
6,160,3
10,163,22
2,165,NA
11,166,57
11,178,10
12,181,NA
2,187,NA
11,194,25
10,202,20
1,210,Na
12,212,11
4,220,9
8,225,20
4,228,40
8,236,7
7,244,6
1,249,NA
1,253,47
2,261,NA
4,273,NA
8,280,15
2,282,16
7,296,32
6,319,10
6,320,15
8,327,6
8,347,NA
1,357,NA
2,359,5
4,362,NA
2,364,16
7,409,22
10,448,4
4,451,40
9,452,12
7,453,51
10,473,25
2,484,16
2,491,8
1,510,NA
2,511,NA
7,513,15
10,516,25
1,519,4
8,523,30
7,528,30
2,529,10
2,533,NA
11,534,NA
11,537,10
7,550,5
2,565,27
2,567,5
2,577,NA
12,591,25
7,594,NA
2,597,13
11,608,60
11,609,40
11,610,12
2,611,NA
12,623,8.5
1,625,NA
4,628,15
6,631,NA
9,634,NA
12,638,Na
2,639,NA
8,640,20
6,647,2
8,649,32
8,651,26
9,654,10
8,656,NA
6,658,26
12,661,NA
10,662,15
12,665,25
8,671,37
4,677,5
8,694,18
12,705,10
2,717,31
12,719,NA
11,722,25
12,728,21
11,732,58
12,740,32
9,745,25
4,748,11
12,751,NO
11,753,18
2,754,NA
10,757,35
1,760,6
8,772,24
2,778,4
2,789,14
6,791,20
11,795,7
9,797,17
12,805,10
2,807,NA
9,808,NA
9,809,15
8,810,40
4,821,10
7,834,5
12,835,30
1,845,27
12,855,27
10,864,NA
10,865,NA
8,868,43
9,877,14
11,879,7
10,883,NA
12,891,12
4,893,20
2,900,14
6,907,NA
4,910,15
10,915,55
4,932,NA
8,937,19
11,942,5
12,947,30
10,953,30
11,954,NA
6,965,NA
7,966,NA
8,969,NA
7,970,11
10,973,NA
4,985,24
4,986,40
7,987,1
9,993,NA
9,1008,12
7,1014,NA
8,1015,43
12,1019,NA
12,1038,10
6,1046,10
10,1065,29
6,1067,20
9,1069,5
1,1071,NA
4,1082,NA
10,1083,NA
9,1096,NA
1,1101,3
12,1102,23
1,1106,NA
10,1112,9
4,1118,NA
6,1120,10
9,1124,NA
4,1126,3.5
4,1132,15
11,1138,45
2,1139,15
4,1141,35
2,1142,NA
2,1143,NA
4,1147,NA
10,1148,NA
8,1148,13
9,1150,NA
2,1159,24
9,1179,5
11,1191,NA
6,1198,Na
9,1208,8
12,1211,5
4,1215,NA
1,1217,NA
9,1232,14
10,1233,15
7,1243,6
9,1244,33
10,1246,NA
1,1254,12
9,1257,NA
11,1262,5
1,1264,4.5
7,1270,NA
9,1273,33
4,1274,5
10,1276,14
1,1278,NA
2,1279,20
6,1313,5
7,1317,NA
2,1322,8
7,1325,7
1,1326,NA
9,1337,NA
9,1340,47
1,1342,2
1,1350,NA
6,1352,NA
10,1362,10
4,1377,NA
11,1383,NA
6,1388,20
7,1392,25
11,1395,6
10,1396,10
6,1402,8
2,1405,5
2,1408,15
8,1414,30
8,1417,NA
1,1419,6
12,1422,NA
1,1424,NA
11,1442,56
7,1443,NA
7,1462,NA
2,1465,27
10,1476,18
6,1477,NA
12,1484,22
8,1488,45
2,1490,29
12,1502,Na
9,1509,20
10,1513,20
11,1516,NA
11,1521,NA
7,1523,35.5
6,1540,18
6,1543,14
10,1552,25
6,1557,10
2,1570,16
12,1571,30
6,1572,8
7,1573,47
8,1577,NA
1,1584,4
7,1589,4
10,1590,17
12,1592,27
7,1599,3
7,1601,14
10,1607,15
1,1611,7
7,1617,NA
4,1621,7.5
12,1622,NA
4,1624,15
8,1625,30
7,1630,NA
6,1630,28
11,1634,Na
9,1640,26
12,1642,10
4,1645,22
11,1668,6
10,1669,NA
9,1671,23
6,1673,17
8,1676,3
6,1679,15
7,1681,20
2,1683,13
1,1689,0.5
6,1690,30
8,1691,37
2,1696,NA
4,1711,25
1,1715,8
11,1717,10
4,1718,23
7,1719,5
1,1730,18
2,1731,NA
4,1732,20
8,1739,18
9,1740,12
2,1742,NA
6,1762,9
9,1766,24
2,1768,35
9,1769,NA
2,1773,10
24,179,2
24,79,3
24,30,15
24,142,0.5
24,322,NA
24,221,NA
24,57,5
24,118,23
24,1204,NA
24,53,9
24,328,4
24,159,NA
24,128,NA
24,112,NA
24,463,1
24,570,1.5
24,430,NA
24,635,33
24,358,NA
24,626,22
24,433,NA
24,536,38
24,435,1
24,492,empty
24,572,15
24,494,17
24,449,6
24,354,19
24,408,13
24,363,15
24,603,5
24,405,NA
24,561,NA
24,539,30
24,600,30
24,652,NA
24,420,NA
24,617,21
24,360,38
24,371,NA
24,723,36
24,784,30
24,686,1
24,675,12.5
24,680,NA
24,846,13
24,735,10
24,741,12
24,867,1
24,866,6
24,676,NA
24,696,45
24,902,NA
24,679,NA
24,733,25
24,873,NA
24,767,17
24,912,Na
24,869,32
24,813,22
24,857,NA
24,856,0.5
24,838,50
24,768,27
24,769,NA
24,726,NA
24,908,7
24,918,5
24,972,12
24,1146,12
24,1085,3
24,1140,20
24,1077,6
24,977,0.5
24,925,10
24,926,5
24,1003,15
24,1156,15
24,1025,10
24,1053,NA
24,1005,NA
24,1040,14
24,1119,6
24,1111,5
24,1137,NA
24,1097,19
24,1042,NA
24,962,NA
24,1061,9.5
24,1176,15
24,1160,2
24,1098,18
24,930,NA
24,1116,6
24,1080,10
24,1019,15
24,1200,20
24,1391,4
24,1356,25
24,1404,15
24,1209,5
24,1207,20
24,1265,15
24,1335,22
24,1360,10
24,1382,7
24,1361,19
24,1401,7
24,1297,9
24,1329,NA
24,1216,20
24,1406,3
24,1328,8
24,1438,17
24,1397,29
24,1562,12
24,1615,8
24,1461,22
24,1470,7
24,1618,10
24,1580,11
24,1503,18
24,1636,3
24,1468,45
24,1555,42
24,1482,35
24,1581,NA
24,1556,24
24,1579,12
24,1451,20
24,1529,17
24,1542,14
24,1561,18
24,1649,15
24,1483,NA
24,1546,40
24,1554,20
24,1669,7
24,1585,6
24,1752,15
24,1765,23
24,1749,15
24,1687,48
24,1697,NA
24,1694,51
24,1759,0.5
24,1693,3
24,1737,20
