SampleID	sample_names_list1	leaf_age	treatment	replicates	leaf_age_weeks	richness	shannon	simpson	evenness	
sample100__	sample100__	A11_F50B	A11	F50	B	11	42	2.334422744	0.811798372	0.62456637
sample101__	sample101__	A11_F50C	A11	F50	C	11	33	1.355341581	0.460212025	0.387627242
sample104__	sample104__	A11_TAI_R3	A11	TAI	R3	11	34	1.871429104	0.720469184	0.530697043
sample107__	sample107__	A12_F50A	A12	F50	A	12	17	1.577292543	0.709159373	0.556715062
sample109__	sample109__	A12_F50C	A12	F50	C	12	28	2.025115065	0.832538374	0.607740329
sample11__	sample11__	A01_TAO_R3	A01	TAO	R3	1	114	2.056319394	0.765042811	0.434170869
sample110__	sample110__	A12_TAI_R1	A12	TAI	R1	12	31	1.933240874	0.815668018	0.562972649
sample111__	sample111__	A12_TAI_R2	A12	TAI	R2	12	19	1.565070757	0.636820505	0.531534451
sample112__	sample112__	A12_TAI_R3	A12	TAI	R3	12	35	1.633589754	0.713231674	0.459473932
sample113__	sample113__	A12_TAI_R4	A12	TAI	R4	12	36	1.994365213	0.832087937	0.556538209
sample114__	sample114__	A12_TAI_R5	A12	TAI	R5	12	33	2.046401568	0.762954777	0.585270168
sample115__	sample115__	A12_TAO_R1	A12	TAO	R1	12	22	1.704204391	0.668235267	0.551336456
sample116__	sample116__	A12_TAO_R2	A12	TAO	R2	12	24	1.850817341	0.759714276	0.582374447
sample118__	sample118__	A12_TAO_R5	A12	TAO	R5	12	31	2.0267688	0.730997401	0.590208606
sample119__	sample119__	A24_F50A	A24	F50	A	24	24	1.980891566	0.70279887	0.62330334
sample12__	sample12__	A01_TAO_R4	A01	TAO	R4	1	43	1.028835681	0.475072737	0.273539203
sample120__	sample120__	A24_F50B	A24	F50	B	24	27	2.072661025	0.851170739	0.628872456
sample121__	sample121__	A24_F50C	A24	F50	C	24	30	2.113732988	0.82567716	0.62146731
sample122__	sample122__	A24_TAI_R1	A24	TAI	R1	24	39	1.942466745	0.805236311	0.530212654
sample123__	sample123__	A24_TAI_R2	A24	TAI	R2	24	38	1.80599644	0.633483068	0.496482107
sample124__	sample124__	A24_TAI_R4	A24	TAI	R4	24	41	1.839403678	0.670531264	0.495319236
sample125__	sample125__	A24_TAI_R5	A24	TAI	R5	24	37	1.932768921	0.725687247	0.535256953
sample126__	sample126__	A24_TAO_R1	A24	TAO	R1	24	25	1.90080931	0.775216418	0.590519614
sample127__	sample127__	A24_TAO_R2	A24	TAO	R2	24	26	1.990529414	0.724390275	0.610948568
sample128__	sample128__	A24_TAO_R3	A24	TAO	R3	24	15	1.949813834	0.805559758	0.720006532
sample129__	sample129__	A24_TAO_R4	A24	TAO	R4	24	27	2.056979323	0.787506304	0.624114423
sample13__	sample13__	A01_TAO_R5	A01	TAO	R5	1	47	1.451862702	0.600604217	0.377092738
sample133__	sample133__	B0-C001	A00	NA	1	0	34	2.124041651	0.76547763	0.602332529
sample134__	sample134__	B0-C002	A00	NA	2	0	40	2.119785563	0.711461848	0.574642134
sample135__	sample135__	B0-C003	A00	NA	3	0	31	1.482043386	0.561871109	0.431580929
