,Sample,agetreatment,age,treatment,replicates,Quantity,Cells,melt.shape
1,A02TAIR3,A02,2,TAI,R3,126352.9521,18050.42172,twopeaks
2,A06TAOR1,A06,6,TAO,R1,1194122.989,170588.9984,rounded
3,A08TAOR4,A08,8,TAO,R4,417389.4552,59627.06503,typical
4,A08TAOR5,A08,8,TAO,R5,38.73557351,5.533653358,lowpeaks
5,A09TAOR3,A09,9,TAO,R3,356.5374473,50.93392105,mountain
6,A09TAIR1,A09,9,TAI,R1,131750.6113,18821.5159,twopeaks
7,A10F50B,A10,10,F50,0B,23088.30089,3298.328698,typical
8,A10F50C,A10,10,F50,0C,66243.89729,9463.413898,typical
9,A10TAOR1,A10,10,TAO,R1,254.914069,36.41629558,twopeaks
10,A10TAOR2,A10,10,TAO,R2,10133301.56,1447614.508,twopeaks
11,A10TAIR1,A10,10,TAI,R1,6747664.322,963952.046,mountain
12,A10TAIR2,A10,10,TAI,R2,518.0535983,74.0076569,typical
13,A11F50B,A11,11,F50,0B,59990.66792,8570.095418,mountain
14,A11F50C,A11,11,F50,0C,75274.12221,10753.44603,mountain
15,A11TAOR3,A11,11,TAO,R3,3593759.701,513394.243,typical
16,A11TAOR4,A11,11,TAO,R4,1594705.852,227815.1218,typical
17,A11TAOR5,A11,11,TAO,R5,42899122.78,6128446.111,typical
18,A11TAIR3,A11,11,TAI,R3,93.44679452,13.34954207,rounded
19,A11TAIR5,A11,11,TAI,R5,21420083.04,3060011.863,rounded
20,A12F50B,A12,12,F50,0B,672.5786349,96.08266213,lowpeaks
21,A12F50C,A12,12,F50,0C,480753.7634,68679.10905,typical
22,A12TAOR1,A12,12,TAO,R1,508.0983536,72.58547909,rounded
23,A12TAIR1,A12,12,TAI,R1,263202.7662,37600.39517,rounded
24,A12TAIR2,A12,12,TAI,R2,4701.714211,671.6734587,rounded
25,A12TAIR5,A12,12,TAI,R5,835.1531094,119.3075871,rounded
26,A24F50A,A24,24,F50,0A,104782.5408,14968.9344,mountain
27,A24TAOR1,A24,24,TAO,R1,6077.097801,868.1568288,mountain
28,A24TAOR3,A24,24,TAO,R3,18.31249576,2.616070822,twopeaks
29,A24TAOR5,A24,24,TAO,R5,630931.7234,90133.10334,mountain
30,A24TAIR2,A24,24,TAI,R2,104247.5815,14892.51165,mountain
31,A24TAIR3,A24,24,TAI,R3,72049.70864,10292.81552,twopeaks
32,A24TAIR5,A24,24,TAI,R5,616941.5227,88134.50324,rounded
33,B0C001,B0C,0C,1,1,1243.978174,177.7111677,twopeaks
34,B0C002,B0C,0C,2,2,5736.237399,819.4624855,twopeaks
35,B0C006,B0C,0C,6,6,35182.25324,5026.036177,typical
36,B1615A,B16,16,15A,5A,13287.58669,1898.22667,typical
37,B1615C,B16,16,15C,5C,174763.5509,24966.22155,typical
38,TACultureA,Control-TA,Control-TA,Control-TA,eA,61.84358598,8.834797997,mountain
39,W01,W01,1,W,1,76.1881992,10.88402846,lowpeaks
40,WC2,WC2,C2,W,C2,140.5474691,20.07820987,lowpeaks
41,WC3,WC3,C3,W,C3,296.4557039,42.35081484,typical
42,WC4,WC4,C4,W,C4,21.56067143,3.080095919,typical
